,IMO No,_id,上层建筑及甲板室,下次特检日期,主机型式*数量,主机建造厂,主机建造时间,主机缸数*缸径*功率*转速,净吨位,压载,发电机*功率*电压*数,各货舱容积,垂线间长,型宽,型深,干舷,平均吃水,总吨位,曾用名,甲板层数,管理公司,舱口数及舱口尺度,舱壁数,船东,船体入级符号,船体附加标志,船名(中文),船名(英文),船旗国,船籍港,船舶呼号,船舶建造厂,船舶建造地点,船舶建造时间,船舶总长,船舶登记号/船检号,船舶类型及用途,船速,货舱总容积,货舱数,"起货设备类型,安全负荷,数量",轮机入级符号,轮机附加标志,载重吨,重大改建情况,重大改建部位的建造日期,锅炉建造厂,锅炉建造时间,锅炉数*压力*受热面积,集装箱数*规格
3054,9754903,5db853775235e727f055839d,"Deckhouse:17.6,Forecastle:13.05",2021/12/13,MAN B&W 5G50ME-B9.5*1;,"Doosan Engine Co.,Ltd.",2015/10/21,5*500*6650*97,"13,121",14171,FE547B-8*660*450*3;,"CARGO HOLD 1*(G8536.80)*(B8276.80)
;CARGO HOLD 2*(G12700.60)*(B12350.80)
;CARGO HOLD 3*(G12292.00)*(B11951.50)
;CARGO HOLD 4*(G12694.90)*(B12341.80)
;CARGO HOLD 5*(G11529.20)*(B11215.40)",181.7,31,16,5525,9.5,"27,781",,1；Upper deck,Navigation Maritime Bulgare,4*21.6×19.2; 1*14.4×19.2,"6；Fr.No.33,69,108,147,186,219",Ruen Maritime Ltd.,★_CSA,"BC-A(Holds Nos. 2&4 may be Empty);CM;CSR;ESP;Grab( 20 );Ice Class B3(dmax.f=10.80m,dmax.c=10.80m,dmax.a=10.80m,dmin.f=4.10m,dmin.c=5.26m,dmin.a=6.40m,PB=5230Kw);In-Water Survey;Loading Computer (S, I, G);PSPC(B,D)",,RUEN,Malta,Valletta,9HA4276,"Jiangsu Hongqiang Marine Heavy Industry Co.,Ltd.",China,2016/12/14,185,16Y0171,Bulk Carrier,14,56136.30/57753.50 M3,5,,★_CSM_,AUT-0;BWMS;GPR;SCM,"41,607",,,Alfa Laval Aalborg A/S,,1*0.9*17/228 m2,
3055,9693410,5db853785235e727f055839e,"Deckhouse:19.2,Forecastle:22.08",2021/1/18,6S60ME-C8.2*1;,"Hu Dong Heavy Machinery Co., Ltd.",2015/12/1,6*600*9801*90.30,"27,645",22271,F547A-8*600*450*3;,"No.1 Cargo Hold*(G12691.90)
;No.2 Cargo Hold*(G13894.80)
;No.3 Cargo Hold*(G14435.20)
;No.4 Cargo Hold*(G13146.00)
;No.5 Cargo Hold*(G13834.40)
;No.6 Cargo Hold*(G13819.60)
;No.7 Cargo Hold*(G15916.50)",225.3,32.26,20,5562,12.2,"44,192",TRADE RESOURCE,1; Upper Deck,MARMARAS NAVIGATION LTD.,6*15.38x15.832; 1*13.68x15.832,"9; Fr.Nos.10,35,71,101,131,161,191,221,251",ACRACO SHIPPING INC.,★_CSA,"BC-A(Holds Nos. 2, 4 & 6 may be Empty);BWMP;CSR;ESP;Grab( 20 );In-Water Survey;Loading Computer (S, I, G, D);PSPC(B);SOLAS II-2 Reg19",,ACRA,Liberia,Monrovia,D5RZ9,"Jiangsu New Yangzi Shipbuilding Co., Ltd.",China,2016/1/19,229,16Y0194,Bulk Carrier,14.3,97738.40 M3,7,"Crane,4.0,1;E/R Overhead Crane,4.0,1;Provision Crane,4.0,1",★_CSM_,AUT-0;BWMS;Clean;GPR;SCM,"82,032",,,"ZhangJiaGang Greens Shazhou Boiler Co., Ltd",,1*0.7*22/325 m2,
3056,9746138,5db853785235e727f055839f,,2021/1/19,,,,,"4,249",11240,ARCB 868*1534.4*690*6;,"BRINE
;Base Oil TK
;Drill Water TK 17P
;Drill Water TK 17S
;SWB TK 11P
;SWB TK 11S
;SWB TK 12P
;SWB TK 12S
;SWB TK 13P
;SWB TK 13S
;SWB TK 15P
;SWB TK 15S
;SWB TK 16P
;SWB TK 16S
;SWB TK 18P
;SWB TK 18S
;SWB TK 19P
;SWB TK 19S
;SWB TK 1P
;SWB TK 1S
;SWB TK 20P
;SWB TK 20S
;SWB TK 21P
;SWB TK 21S
;SWB TK 3P
;SWB TK 4P
;SWB TK 5P
;SWB TK 5S
;SWB TK 6P
;SWB TK 6S
;SWB TK 9P
;SWB TK 9S
;SWB/DW TK 2P
;SWB/DW TK 2S
;SWB/FWB TK 3S
;SWB/FWB TK 4S",70.36,76,9.45,2764,6.4,"14,164",,"Bottom, Inner Bottom 1830 ABL, Intermediate Deck 5640 ABL, Main Deck",China Oilfield Services Limited Drilling,36*,"8; FR.4A,10A,12A(P),15A(P),20A,26A,30,31",China Oilfield Services Limited,★CSA,HELDK;Drilling Unit;IWS,海洋石油943,HAI YANG SHI YOU 943,China,Tianjin,BFBK5,"Dalian Shipbuilding Industry Offshore Co.,Ltd.",China,2016/1/20,100.26,16Y5001,Self-elevating,,-,36,"Crane,50,3",,,,,,,,,
3057,,5db853795235e727f05583a0,,,E10599*1; E11046*1;,"Yanmar Co.,Ltd.,Japan",2016/6/11,,12,,***1;,,13.38,7.87,1.75,0,,42,,,,,,哈尔滨市道外区中平街19号 张士坤,★_CSA,,阳光城堡号,YANG GUANG CHENG BAO HAO,China,,,"Construction Navale Bordeaux, France",,2016/3/11,,16Y6243,Yacht,,-,0,,,,,,,,,,
3058,9813175,5db8537a5235e727f05583a1,"Deckhouse:7.2,Forecastle:15",2021/11/15,G6300ZC18B*1;,"NINGBO C.S.I. POWER & MACHINERY GROUP CO.,LTD, China.",2016/9/19,6*300*1323*550,"2,519",3118,TFXW-250L4-H*120*400*2; TFXW-355M6-H*250*400*3;,"No.1 Cargo Hold*(G2817.29)*(B66.00)
;No.2 Cargo Hold*(G2817.29)*(B138.00)
;No.3 Cargo Hold*(G1446.45)*(B120.00)",105.6,18,8.5,3716,4.8,"4,990",HE KOU,1;Upper Deck,PT. Pelayaran Tirtamas Express.,2*25.16x15; 1*12.92x15,"6; Fr.Nos.7 , 32 , 51 , 92 , 133 , 149",PT. TEMAS TBK,★CSA,"Loading Computer (S, I);R1",,MUARA MAS,Indonesia,Makassar,YBOV2,"Lianyungang Wuzhou Shipping Industry Co., Ltd.",China,2016/11/16,107.8,16Y6266,Open-Top Container Ship,10.5,324.00/7081.03 M3,3,"Crane,40,2",★CSM,,"5,885",,,"Taizhou Xinbang Thermai Equipment Manufacturing Co., Ltd",,1*0.3* m2,dk:36;ho:324
3059,9706384,5db8537a5235e727f05583a2,Deckhouse:17.1,2022/1/5,7G80ME-C9.2*1;,"CSSC-MES Diesel Co.,Ltd.,China",2016/8/12,7*800*25360*67.6,"107,723",95538,HFJ5 632-84K*1250*450*3;,"No.1 C.O.T.(C)*(G27248.60)
;No.1 C.O.T.(P)*(G17884.90)
;No.1 C.O.T.(S)*(G17884.90)
;No.2 C.O.T.(C)*(G33305.10)
;No.2 C.O.T.(P)*(G21120.70)
;No.2 C.O.T.(S)*(G21120.70)
;No.3 C.O.T.(C)*(G33305.10)
;No.3 C.O.T.(P)*(G21120.70)
;No.3 C.O.T.(S)*(G21120.70)
;No.4 C.O.T.(C)*(G33305.10)
;No.4 C.O.T.(P)*(G21120.70)
;No.4 C.O.T.(S)*(G21120.70)
;No.5 C.O.T.(C)*(G32484.30)
;No.5 C.O.T.(P)*(G13300.10)
;No.5 C.O.T.(S)*(G13300.10)",327,60,30.6,7124,20.5,"165,125",,"1,upper deck","Associated Maritime Co.,( Hong Kong ) Ltd.",15*oval 0.72x0.97,"8, Fr.No.,50-54,55-56,58,64,73,82,91,101",NEW WEALTH SHIPPING COMPANY LIMITED,★CSA,"BWMP;CM;COMPASS (D,R,F);CSR;ERS;ESP;Emergency Towing Arrangements;Equipped with Single Point Mooring Connecting installation;F.P. ≤ 60℃;GPR;In-Water Survey;Loading Computer (S, I, D);PSPC(B,C)",凱富,NEW WEALTH,"Hong Kong, China",Hong Kong,VRQG9,"Shanghai Waigaoqiao Shipbuilding Co., Ltd.",China,2017/1/6,333,17A0016,"Oil Tanker, Double Hull",15.7,348742.40 M3,15,"E/R Overhead Crane,12.5,1;Crane,20.0/15.0,2;Provision Crane,10,2",★CSM,AUT-0;BWMS;IGS;PMS;SCM;VCS,"318,705",,,"Jiujiang Haitian Equipment Manufacture Co.,Ltd.,China",2016/7/21,1*0.59*/1092 m2;1*0.7*30.8 m2;2*1.96*540 m2,
3060,,5db8537b5235e727f05583a3,Deckhouse:10.44,2022/3/12,6210ZLC-12*2;,"Zicai Machinery Co.,Ltd.",2016/5/15,6*210*374*600,894,396,TFXW-250L4-H*120*400*2;,,53.4,13.8,4.7,1212,3,"1,598",,1&Main deck,"Yantai Jinlong Shipping Co.,Ltd.",,8&Fr.7/26/35/43/53/63/72/83,"Yantai Jinlong Shipping Co.,Ltd.",★CSA,Ice Class B;R1,锦容15,JIN RONG 15,China,Yantai,BCLH5,Changdao Shipbuilding Co.,China,2017/3/13,59.8,17A0039,RO-RO Ship,12,-,0,,★CSM,,677,,,,,,
3061,,5db8537c5235e727f05583a4,"Deckhouse:25.1,Forecastle:12",2022/5/9,9L27/38*1;,"CSSC Marine Power Co., Ltd.",2016/8/15,9*270*3000*800,"4,335",,MP-H-150-4*150*400*3;,"1P*(G1256.28)
;1S*(G1256.28)
;2P*(G1505.56)
;2S*(G1505.56)
;3P*(G1257.61)
;3S*(G1257.61)
;4P*(G1507.34)
;4S*(G1507.34)
;5P*(G1418.17)
;5S*(G1418.17)",120.3,20,11.3,,7.8,"7,742",GANG DA,1 & Upper Deck,"Shanghai Fengle Shipping Co.,Ltd.",10*Dia.0.8,10 & 9/31/36/60/84/104/128/152/159/165,"Shanghai Fengle Shipping Co.,Ltd.",★CSA,F.P. ≤ 60℃;Ice Class B;R1,宏致88,HONG ZHI 88,China,Shanghai,BQKH,"Nanjing Chenglang Shipbuilding Industry Co., LTD.",China,2017/5/10,128.1,17A0062,"Oil Tanker, Double Hull",12.5,13889.92 M3,10,,★CSM,BRC,"11,864",,,"Jiangyin Sanjie Industry Co., Ltd.",,1*0.7*12/90 m2,
3062,9646675,5db8537d5235e727f05583a5,"Deckhouse:21.6,Forecastle:14.88",2022/5/24,5RT-flex58T-D*1;,"Hefei Rongan Power Machinery Co., Ltd., China",2011/8/1,5*580*9500*105,"26,095",20522,HFC6 502-84K*600*450*3;,"No.1 Cargo Hold*(G11002.50)
;No.2 Cargo Hold*(G13586.40)
;No.3 Cargo Hold*(G13581.80)
;No.4 Cargo Hold*(G13581.80)
;No.5 Cargo Hold*(G13581.80)
;No.6 Cargo Hold*(G13581.80)
;No.7 Cargo Hold*(G13023.40)",217,32.25,19.7,5500,12.2,"41,605",,"1, Upper deck",Laskaridis Shipping Company Ltd.,6*15.48x15.03; 1*15.48x13.00,"9; Fr. No. 12, 39, 69, 99, 129, 159, 189, 219, 247",Yangel Marine S.A.,★CSA,"BC-A(Holds Nos. 2,4&6 may be Empty);BWMP;COMPASS (R,D,F);CSR;ESP;Grab( 20);In-Water Survey;Loading Computer (S, I, G);PSPC(B)",,ORPHEUS,Liberia,Monrovia,D5MR7,"Penglai Zhongbai Jinglu Ship Industry Co., Ltd.",China,2017/5/25,224.9,17A0085,Bulk Carrier,14.5,91939.50 M3,7,"E/R Overhead Crane,4,1;Crane,4,4",★CSM,AUT-0;CMS;SCM,"75,631",,,"Saacke Qingdao Marine Boiler Co., Ltd. China",,1*0.7*16.5/244.6 m2,
3063,9819533,5db8537d5235e727f05583a6,Deckhouse:115.3,2022/8/8,8L32/40*2;,"Weichai Heavy Machinery Co., Ltd., China",2016/11/15,8*320*3600*750,"5,060",1213,1FC6458-6SA42*550*400*3;,vehicle space*(G5047.88),108.55,20.6,6.3,1612,4.2,"12,336",,"5/1,3,4,5,6 DECK","Beihai ENNOVA Cruise Co., Ltd.",1*,"11/FR.6,16,26,61,73,85,97,108,119,129,139","Beihai ENNOVA Cruise Co., Ltd.",★CSA,PSPC(B),北部湾66,BEI BU WAN 66,China,Beihai,BQPC,"Taizhou Kouan Ship Building Co., Ltd.",China,2017/8/9,118.8,17A0108,RO-RO Passenger Ship,14.5,5047.88 M3,1,,★CSM,BRC,"1,326",,,"Jiangyin Sanjie Industry Co., Ltd.",,1*0.68*12/190 m2,
