,IMO No,_id,上层建筑及甲板室,下次特检日期,主机型式*数量,主机建造厂,主机建造时间,主机缸数*缸径*功率*转速,净吨位,压载,发电机*功率*电压*数,各货舱容积,垂线间长,型宽,型深,干舷,平均吃水,总吨位,曾用名,甲板层数,管理公司,舱口数及舱口尺度,舱壁数,船东,船体入级符号,船体附加标志,船名(中文),船名(英文),船旗国,船籍港,船舶呼号,船舶建造厂,船舶建造地点,船舶建造时间,船舶总长,船舶登记号/船检号,船舶类型及用途,船速,货舱总容积,货舱数,"起货设备类型,安全负荷,数量",轮机入级符号,轮机附加标志,载重吨,重大改建情况,重大改建部位的建造日期,锅炉建造厂,锅炉建造时间,锅炉数*压力*受热面积,集装箱数*规格
0,9069073,5db846da5235e74d2c32db01,"Deckhouse:14.4,Poop:21.6",2020/9/22,6300ZCD-1*2;,"Guangzhou Diesel Engine Factory, China",1999/8/1,6*300*441.00*400.00,363,129,DKBH-4320/04*220.00*400*2; SB-HT-TH*30.00*400*1;,Mud cargo hold*(G1032.00),59.8,12,5.4,,4.6,"1,210",,1,"Guangdong Zhuhai Power Station Co., Ltd.",1*24 x 7.2,"6; Fr.nos.4,14,36,76,90,93","Guangdong Zhuhai Power Station Co., Ltd.",★CSA,Dredging Within Sheltered Water Service;R2,珠电浚1,ZHU DIAN JUN 1,China,Zhuhai,,Guangzhou Huangpu Shipyard,China,2000/5/17,63.88,00A1012,Trailing Suction Dredger,8,1032.00 M3,1,,★CSM,,"1,894",,,,,,ho:1
1,9239422,5db846db5235e74d2c32db02,"Deckhouse:14.4,Forecastle:28.8",2020/11/15,6DKM-28*1; 6DKM-28L*1;,Daihatsu Diesel Mfg. Co. Ltd. Moriyama Factory,1999/12/8,6*280*1640*750.00,420,371,FEK45DL-4*1000*400*2; IFC5454-8TA42*400*400*1; IFC5454-8TA42*800.00*400*1;,,57.2,13.2,6.2,712,5,"1,401",,"1,Upper deck",Guangzhou Salvage,,"8,Frm.Nos .-3,5,21,39,60,70,78,88",Guangzhou Salvage,★CSA,Ice Class B;Offshore Supply Ship;Oil Recovery Ship B;Rescue Ship,德鹏,DE PENG,China,Guangzhou,BSFS,Donghai Shipyard,China,2000/11/16,65.3,00A4002,Tug,14,-,0,,★CSM,BRC+MCC,"1,002",,,Qingdao Marine Boiler Factory,2000/1/1,1*0.7*18.54 m2,ho:1
2,9223758,5db846dc5235e74d2c32db03,"Deckhouse:15.01,Forecastle:16.8",2020/4/23,B&W6L70MC*1;,"Shanghai Shipyard, China",1999/10/1,6*700*16980.00*108.00,"9,379",8446,IFC6564-8SA82*960.00*450*3;,"Containers on deck
;No.1 cargo hold
;No.2 cargo hold
;No.3 cargo hold
;No.4 cargo hold
;No.5 cargo hold",167,27.6,15.9,2514,10.64,"20,569",,,"COSCO SHIPPING LINES CO.,LTD","1*; 3*2x12.64x23.2; 1*12.64x23.2; 1*12.64x18.072/13.556,12.64x23","7,Frm Nos.19,54,91,127,163,200,206","COSCO SHIPPING LINES CO.,LTD",★CSA,"Ice Class B;Loading Computer  (S,I,D)",腾云河,TENG YUN HE,China,Shanghai,BOTV,Shanghai Shipyard,China,2000/4/24,179.7,00B2002,Container Ship,20.2,-,6,"Crane,5.0,1;Crane,4.0,2",★CSM,AUT-0;CMS,"25,648",,,Shazhou Marine Boiler Factory,,1*0.7*25/257 m2,dk:750;ho:776
3,9239824,5db846dd5235e74d2c32db04,Forecastle:6,2020/10/12,KTA19-M*2;,Chongqing Cummins Engine Company Ltd.China,2008-09-27; 2008-10-08,6*159*339*1744,538,484,SB-HT-24*24.00*400*1; SB-HT-40*40.00*400*1; SB-HT-50*50.00*400*1;,"No.1 cargo oil tank (Port)*(G234.20)*(B234.20)
;No.1 cargo oil tank (Starboard)*(G234.20)*(B234.20)
;No.2 cargo oil tank (Port)*(G242.40)*(B242.40)
;No.2 cargo oil tank (Starboard)*(G242.40)*(B242.40)
;No.3 cargo oil tank (Port)*(G242.40)*(B242.40)
;No.3cargo oil tank (Starboard)*(G242.40)*(B242.40)
;No.4 cargo oil tank (Port)*(G245.40)*(B245.40)
;No.4cargo oil tank (Starboard)*(G245.40)*(B245.40)",58.6,12,4.2,608,3.6,997,DONG GUI 2,1; upper deck,"Zhejiang Dongrun Shipping Co.,Ltd.",8*Dia.1.0,10 Fr. No.1;3;21;37.5;54;70.5;87;89;93,"Zhejiang Dongrun Shipping Co.,Ltd.",★CSA,"ESP;F.P. ≤ 60℃;Loading Computer (I,D);R2;Type 3",东润266,DONG RUN 266,China,Zhoushan,,Guangxi Wuzhou Shipyard,China,2000/10/13,63,00B4003,Chemical/Oil Tanker,8.5,1928.80/1928.80 M3,8,,★CSM,,"1,714","Main propulsion plant(main engine,gearbox,shaft and propeller)",2009/2/1,,,,ho:1
4,9175444,5db846de5235e74d2c32db05,"Deckhouse:20.65,Forecastle:12.95,Poop:30.4",2020/6/25,6S50MC-MK6*1;,"Shanghai Shipyard,China",1998/10/28,6*500*7550.00*116.00,"8,766",6786,IFC5-502-STA82*500.00*450*3;,"No.1 Cargo Hold*(G6109.50)*(B5854.40)
;No.2 Cargo Hold*(G9189.70)*(B9078.00)
;No.3 Cargo Hold*(G9328.80)*(B9217.10)
;No.4 Cargo Hold*(G7276.60)*(B7204.40)",158,25.2,14.1,4120,10.02,"15,589",,2,"COSCO Shipping Specialized Carriers Co., Ltd.","2*2,25.6X7.90; 1*2,19.2X7.90; 1*1,16.80x9.00","6&Fr.12,36,71,113,155,191","COSCO Shipping Specialized Carriers Co., Ltd.",★CSA,"Ice Class B;Loading Computer (S, I, G);Strengthened for Heavy Cargoes",乐同,LE TONG,China,Guangzhou,BOQD,Wuhu Shipyard,China,2000/6/26,169,00C2003,General Dry Cargo Ship,18,31353.90/31904.60 M3,4,"Crane,40,1;Crane,15,2",★CSM,AUT-0,"22,278",,,Aalborg ( Qingdao ) Boiler Co. Ltd.,,1*0.6*30.7/263.7 m2,ho:1
5,9189213,5db846e05235e74d2c32db06,"Deckhouse:21.3,Forecastle:19.64",2020/5/22,MAN B&W 7S50MC-C*1;,"Mitsui Engineering & Shipbuilding Co.Ltd.Tamano Works, Japan",1999/1/1,7*500*9120*105,"25,272",5849,NTAKL*420*450*3;,"No.1 cargo hold*(G12343.20)
;No.2 cargo hold*(G12919.50)
;No.3 cargo hold*(G12835.20)
;No.4 cargo hold*(G12824.60)
;No.5 cargo hold*(G12940.10)
;No.6 cargo hold*(G12920.80)
;No.7 cargo hold*(G12504.10)",216,32.26,19.25,5369,13.93,"39,996",FORTUNE EAST,"1, upper deck","Ningbo Tianhao Shipping Co., Ltd.",1*17.6X12.8; 6*16.8X16,"8/Fr.37,68,99,130,161,192,223,256","Ningbo Tianhao Shipping Co., Ltd.",★_CSA,"ESP;Holds Nos.2, 4 & 6 may be Empty;Loading Computer (S, I, G);Strengthened for Heavy Cargoes",天浩 17,TIAN HAO 17,China,Ningbo,BQYI,"Mitsui Engineering & Shipbuilding Co.,Ltd.,Chiba Works",Japan,2000/5/23,225,00C2026,Bulk Carrier,14.5,89287.50 M3,7,"Crane,2,1;Crane,4,1",★_CSM_,AUT-0;CMS,"75,615",,,"Osaka Boiler Mfg. Co., Ltd., Japan",,1*0.6*27/206 m2,
6,-,5db846e15235e74d2c32db07,Deckhouse:10086,2022/12/26,6CTA8.3-M*2;,Cummins Engine Co. Ltd.,1999/11/6,6*114*237.00*2300.00,10,,G-8M-3*6.00*220*1;,,13.54,4.7,2.4,1700,,33,,"1,main deck",Sea-Dragon Marine Services Pte. Ltd.,,"3,Fr.No.2,10,16",Sea-Dragon Marine Services Pte. Ltd.,★_CSA,30 mile limit voyages within Singapore,,SEA-DRAGON 9,Singapore,Singapore,,JS Marine Technology Pte. Ltd.,Singapore,2000/8/10,15.65,00C3015,Traffic Boat,,-,0,,★_CSM___,,10,,,,,,
7,9192686,5db846e25235e74d2c32db08,"Deckhouse:19.5,Forecastle:12.7",2020/8/12,5RTA48T*1;,"Shanghai Hudong Heavy Machinery Shangchuan Diesel Co., Ltd., China",2000/4/1,5*2000*6300.00*120,"9,412",9947,IFC6502-8SA82*560.00*450*3;,"No.1 Cargo hold*(G3649.44)*(B3931.61)
;No.2 Cargo hold*(G9479.47)*(B9975.35)
;No.3 Cargo hold*(G9598.05)*(B9975.35)
;No.4 Cargo hold*(G7482.29)*(B7835.82)
;No.5 Cargo hold*(G5946.45)*(B6035.90)",174,26.2,14.7,4730,10,"19,955",,"2, Upper deck, tween deck","COSCO Shipping Specialized Carriers Co., Ltd.",1*24.80x20.20; 1*24.80x20.2; 1*19.20x20.20; 1*19.20x13.40/18.60; 1*12.8x17.5/12.5,"8, Fr.10,35,67,100,142,184,207,212","COSCO Shipping Specialized Carriers Co., Ltd.",★CSA,"Equipped with Container Securing Arrangement;Holds Nos. 2 & 4 may be Empty;Ice Class B;Loading Computer (S, I, G);Strengthened for Heavy Cargoes",乐从,LE CONG,China,Guangzhou,BOKU,"Guangzhou Shipyard International Co., Ltd.",China,2000/12/1,182.67,00C4004,General Dry Cargo Ship,14,37754.03/36155.70 M3,5,"Crane,70,2;Crane,35.0,5",★CSM,AUT-0,"29,108",,,Aalborg ( Qingdao ) Boiler Co. Ltd.,,1*0.7*/201 m2;1*0.7*21.6 m2,dk:494;ho:595
8,9256092,5db846e35235e74d2c32db09,"Deckhouse:12.65,Forecastle:7.98",2020/5/13,8190ZLC-2*1;,"Jinan Diesel Engine Co., Ltd.China",2006/7/8,8*190*500*1000.00,77,,TFX-225M4-H*75.00*400*2;,"No.1 Cargo Hold*(G127.73)
;No.2 Cargo Hold*(G174.36)",41,6.6,3.3,756,,205,,"1, upper deck","Dalian Ren Cheng Seafood Co., Ltd.",2*2.2x2.2,"5, Fr.Nos. 2, 27, 44, 63, 68",Dalian Haiyangdao Fisheries Group Co. Ltd.,★CSA,,连通,LIAN TONG,China,Dalian,BAHL,"Shandong Huanghai Shipbuilding Co., Ltd.",China,2000/5/14,44.89,00D2004,Aquatic Product Carrier,14.5,302.09 M3,2,,★CSM,,167,,,,,,ho:
9,9208150,5db846e45235e74d2c32db0a,"Forecastle:15.4,Poop:17.6",2020/2/28,7S60MC-C*1;,"Hitachi Zosen Diesel Engine Co., Ltd.",1999/7/11,7*600*14215*101.5,"6,636",10596,FE45CS-8*880*450*3;,"Cargo Hold No.1
;Cargo Hold No.2
;Cargo Hold No.3
;Cargo Hold No.4
;Cargo Hold No.5",180,28,14.1,2011,9.5,"17,751",WAN HAI 231,"2, Upper/ 2nd Deck",Wan Hai Lines(S) Ltd.,1*12.60X8.10X2;12.60X5.50X2; 1*12.60X8.10X2; 3*12.60X10.60X2,9; Frs.47/ 87/ 126/ 165/ 204/ 224/ 237,Wan Hai Lines(S) Ltd.,★_CSA,"Loading Computer (S, I)",,WAN HAI 231,Singapore,Singapore,S6EN9,"Naikai Zosen Corporation, Hiroshima",Japan,2000/2/10,191.45,00E1016,Container Ship,21,-,5,"Elevator,0.318,1;Crane,0.9,2;Crane,2.0,2",★_CSM_,AUT-0;CMS,"21,052",,,Osaka Boiler,,1*0.6*25/319 m2,dk:1100(20')/524(40');ho:560(20')/270(40')
10,9231195,5db846e55235e74d2c32db0b,"Deckhouse:13.8,Forecastle:20.7",2020/6/5,6DKM-28*1; 6DKM-28L*1;,"Daihatsu Diesel Mfg. Co. Ltd. Moriyama Factory, Japan",1999/11/1,6*280*1640.00*750.00,407,381,1FC2 354-4SB42*320.00*400*2; 6DKM-28*1640*400*1; 6DKM-28L*1640*400*1;,,57.2,13.2,6.2,712,5.01,"1,358",,"1,maindeck",China Yantai Salvage,,"8, Fr. Nos.-2,5,17,39,60,70,78,88",China Yantai Salvage,★CSA,Ice Class B;Oil Recovery Ship B;Rescue Ship,德泮,DE PAN,China,Yantai,BSJI,Donghai Shipyard,China,2000/6/6,63.6,00E2005,Offshore Tug/Supply Ship,14.5,-,0,"Crane,5.0,1",★CSM,BRC;MCC,"1,028",,,Qingdao Marine Boiler Factory,,1*0.7*18.54 m2,ho:1
11,-,5db846e75235e74d2c32db0c,,2024/6/26,6160A-13*1; 6160A-14*1;,Shandong Weifang Diesel Engine Works,1999/4/1,6*160*164.00*1000.00,328,78,SB-HT-12-WA-35*12.00*400*1; SB-HT-64-B.34*64.00*400*1; SB-HT-WA.B3*24.00*400*1;,"NO.1 C.O.T.(P&S)*(G309.21)
;NO.2 C.O.T.(P&S)*(G390.38)
;NO.3 C.O.T.(P&S)*(G386.52)",46.2,9.8,4,,3.3,496,,,"Zhuhai East Long Guang Petrochemical Co., Ltd.",3*Ф0.7,,"Zhuhai East Long Guang Petrochemical Co., Ltd.",★CSA,ESP;F.P.≤60℃;R2,龙光 188,LONG GUANG 188,China,Zhuhai,,Guangxi Wuzhou Shipyard,China,2000/1/31,49.65,00E3500,Oil Tanker,8.7,1086.11 M3,3,,★CSM,,868,,,,,,ho:1
12,9231200,5db846e85235e74d2c32db0d,"Deckhouse:12.7,Forecastle:8.8,Poop:16.9",2020/6/18,6M453C*1;,Guangzhou Mak Diesel Engine Co. Ltd.,1999/6/30,6*320*2200.00*600.00,"1,708",2270,TFX-H*200.00*400*3;,"No.1 Cargo hold*(G2391.52)*(B50.00)
;No.2 Cargo hold*(G3790.59)*(B88.00)",93.9,16.8,7.8,1718,,"3,988",YU XI QUAN,1,"Zhejiang Yonghang Shipping Co., Ltd.",1*37.7 x 12.592; 1*27.3 x 12.592,"5, Fr. Nos. 9,30, 88, 130,139","Lufeng Shipping Co., Ltd.",★CSA,Equipped with Container Securing Arrangement;Ice Class B;Strengthened for Heavy Cargoes,鲁 丰,LU FENG,China,Qingdao,BTDW,Xinhe Shipyard,China,2000/6/19,99.9,00F2006,General Dry Cargo Ship,13.8,138.00/6182.11 M3,2,,★CSM,,"5,020",,,Qingdao Marine Boiler Factory,,1*0.7*17.1/60 m2,dk:207/84;ho:138/57
13,9229415,5db846e95235e74d2c32db0e,Deckhouse:20.8,2020/11/1,6S60MC*1;,"Kawasaki Heavy Industries, Ltd. Kobe, Janpan.",1999/12/8,6*600*12268*105,"26,670",33522,NTAKL*500*450*3;,"No.1 Cargo Hold*(G18869.73)
;No.2 Cargo Hold*(G21007.61)
;No.3 Cargo Hold*(G17996.10)
;No.4 Cargo Hold*(G21167.21)
;No.5 Cargo Hold*(G19847.25)",220,38,19.93,6118,,"48,032",CORONA FRANTIER,"1,Upper Deck","Dongguan Haichang Shipping Co., Ltd.",2*23.01X17.60; 2*23.01X17.6; 1*21.24X17.60,"7;Fr.13,Fr.39,Fr.81,Fr.123,Fr.159,Fr.201,Fr.243","Dongguan Haichang Shipping Co., Ltd.",★_CSA,"ESP;Loading Computer (S, I)",新东莞12,XIN DONG GUAN 12,China,Dongguan,BRTL,"Imabari Shipbuilding Co., Ltd., Japan",Japan,2000/6/14,229.93,00F2029,Bulk Carrier,,98887.90 M3,5,"E/R Overhead Crane,3,1;Provision Crane,2,1;Provision Crane,3,1",★_CSM_,AUT-0;CMS;SCM,"88,291",,,"Osaka Boiler Mfg. Co.,Ltd. JAPAN.",1999/9/6,1*0.6*27.0/284.0 m2,
14,9224128,5db846ea5235e74d2c32db0f,"Forecastle:9.8,Poop:21.4",2020/1/23,6L20*2;,"Wartsila Diesel Oy; Wartsila Diesel Oy, Finland",1997/5/1,6*200*990.00*1000.00,"1,323",1796,ARCM 446MA*160.00*400*2; ARCM 446MA*85.00*400*1;,"No.1 Cargo hold*(G2660.91)
;No.2 Cargo hold*(G2540.20)",84.81,16.2,7.2,1814,4.95,"3,580",,1,"Xinliang Shipping Co.,Ltd of China Grains and Logistics Corp.",2*25.2x12.6,"6, Frs.2,8,33,69,109,116","Xinliang Shipping Co.,Ltd of China Grains and Logistics Corp.",★CSA,Ice Class B,良河,LIANG HE,China,Yangpu,BTUS,"Jiangdu Yuehai Shipbuilding Co., Ltd.",China,2000/1/24,93,00F3501,General Dry Cargo Ship,12.5,5201.11 M3,2,,★CSM,,"4,039",,,Shazhou Marine Boiler Factory,1998/1/1,1*0.7*0.19/0.9 m2,
15,9223760,5db846eb5235e74d2c32db10,"Deckhouse:15.01,Forecastle:16.8",2024/5/28,B&&W 6L70MCMK6*1;,Shanghai Shipyard,1999/12/1,6*700*16980.00*108.00,"9,379",8246,IFC6564-8SA82-Z*960.00*450*3;,"Containers on deck
;No.1 Cargo hold
;No.2 Cargo hold
;No.3 Cargo hold
;No.4 Cargo hold
;No.5 Cargo hold",167,27.6,15.9,2514,10.64,"20,569",,,COSCO Container Lines (COSCON),1*; 3*2x12.64x23.2; 1*12.64x23.2/12.64x18.072; 1*12.64x23.2,Yes,COSCO Container Lines (COSCON),★CSA,"Ice Class B;Loading Computer  (S,I,D)",飞云河,FEI YUN HE,China,Shanghai,BOTU,Shanghai Shipyard,China,2000/7/12,179.7,00G2007,Container Ship,20.2,-,6,"Crane,5,1;Crane,4,2",★CSM,AUT-0;CMS,"25,648",,,Shazhou Marine Boiler Factory,1999/10/1,1*0.7*25/257 m2,dk:838;ho:776
16,9220419,5db846ec5235e74d2c32db11,Deckhouse:14.3,2020/5/26,MAN B & W 6L35MC*1;,The Hanshin Diesel Works Ltd.,1999/10/1,6*350*3883*210,"3,131",910,FE35B-6*220*450*2;,"No.1 Cargo Hold*(G6456.60)*(B6046.93)
;No.2 Cargo Hold*(G8268.44)*(B7710.73)",92.81,18.6,13.1,4612,8.5,"6,102",BEST PESCADORES,"2&Upper deck,Second deck","XIAMEN XINFENG SHIPPING CO.,LTD",1*25.20x12.80; 1*21.00x12.80,"4,Fr.8,27,79,126",H.K. YONG DA SHIPPING LIMITED,★_CSA,,,YONG DA 8,Panama,Panama,H3GZ,"Higaki Shipbuilding Co., Ltd.",Japan,2000/5/26,100.48,00G2030,General Dry Cargo Ship,13.3,13757.66/14725.04 M3,2,"Crane,0.9,1;Derrick,30,4",★_CSM_,,"8,573",,,"MIURA CO., LTD.",,1*0.7*17.7/56.2 m2,
17,9194660,5db846ee5235e74d2c32db12,,2021/7/22,6L28/32*1;,Zhenjiang Marine Diesel Engine Works,1999/4/22,6*280*1320.00*775.00,726,1657,1FC6.404-6SA42*280.00*400*3;,"No.1 cargo tank*(B1002.38)
;No.2 cargo tank*(B1003.35)",78.5,14.8,6.5,2514,4,"2,420",,"1,Upper deck",Tianjin Southwest Maritime Limited,2*20.15x9.4,"5,Fr. No.10,37,70,103,113",Tianjin Southwest Maritime Limited,★CSA,"Loading Computer (S, I, D);Max. Pressure 1.76 MPa and Min. Temperature -10℃;Type 2PG",宏桂,HONG GUI,China,Tianjin,BFMT,"Jiangnan Shipbuilding ( Group ) Co., Ltd.",China,2000/6/30,84.34,00H2008,LPG Carrier,12,2005.73 M3,2,,★CSM,,"1,716",,,"Jiangsu Sealand Boiler Group Co., Ltd.",,1*0.7*9.7/60 m2,ho:1
18,9184304,5db846ef5235e74d2c32db13,Deckhouse:21.5,2020/5/31,B&W 6S60MC*1;,"KYUSYU HITACHI ZOSEN CORPORATION,JAPAN",1999/4/8,6*600*9847.2*98,"26,594",25522,FEK-40C-8*480*450*3;,"No.1 C.H.*(G11601.70)
;No.2 C.H.*(G13661.90)
;No.3 C.H.*(G13658.30)
;No.4 C.H.*(G13677.10)
;No.5 C.H.*(G13696.90)
;No.6 C.H.*(G13674.40)
;No.7 C.H.*(G12212.90)",217,37,18.7,5320,12,"43,687",STELLA X,"1, Upper deck","Ningbo Tiansheng Shipping Co.,Ltd.",6*17*17.2; 1*17*15.48,"9； Fr.Nos.:11,37,67,97,127,157,187,217,247","Ningbo Tiansheng Shipping Co.,Ltd.",★_CSA,"ESP;Holds Nos.2，4 & 6 may be Empty;Lifting Appliance;Loading Computer (S, I, G)",天盛27,TIAN SHENG 27,China,Ningbo,BTJE8,CHINA SHIPBUILDING CORPORATION TAIWAN,China,2000/5/8,225,00H2031,Bulk Carrier,,92183.20 M3,7,"Crane,4,3;Crane,30,4",★_CSM_,AUT-0,"80,230",,,OSAKA  BLOWER MFG.,1999/2/1,1*0.7*29/165 m2,
19,9220304,5db846f05235e74d2c32db14,"Deckhouse:17.4,Forecastle:14.4",2020/2/18,MITSUI MAN B&W 7S50M*1;,"MITSUI Engineering & Shipbuilding Co., Ltd. , Okayama Japan",1999/5/14,7*500*9988*127,"5,336",4879,FE4IDS-8*560*450*3;,"Deck*(B104.00)
;No.1 cargo hold*(B70.00)
;No.2 cargo hold*(B152.00)
;No.3 cargo hold*(B156.00)
;No.4 cargo hold*(B66.00)",135,25,13.7,4775,8.97,"12,563",SINAR BANGKA,"1, upper deck",Iseaco Shipmanagement Pte Ltd,1*; 2*25.2; 1*25; 1*12.6,"7; Fr.11, 39, 59, 100, 140, 180, 185",Iseaco Pte Ltd.,★_CSA,"Loading Computer (S, I)",,SINAR BANGKA,Singapore,Singapore,9V9093,"Hakata Shipbuilding Co., Ltd.",Japan,2000/2/18,147,00J1020,Container Ship,19.51,548.00 M3,5,"Crane,40,2",★_CSM_,CMS,"14,943",,,"MIURA CO., LTD.",1999/8/26,1*0.6*/206.1 m2;1*0.6*17.9 m2,dk:610;ho:444
20,9232008,5db846f15235e74d2c32db15,"Forecastle:7.7,Poop:13.2",2020/6/11,LB8250ZICz-6*1;,"Zibo Diesel Engine Factory, China",2000/4/1,8*250*1324.00*750.00,93,48,TFX-250M4-H*64.00*400*2;,"No.1*(G83.30)
;No.2*(G117.40)
;No.3*(G137.20)",46,7.4,3.7,833,2.8,287,,"1,Upper deck",Dandong Daludao Haixing Enterprise ( Group ) Co.,3*2.10X1.85,"7,Fr.Nos.2,7,32,45,58,72,77",Dandong Daludao Haixing Enterprise ( Group ) Co.,★CSA,"China - Japan, Korea Service",县鱼1号,XIAN YV 1 HAO,China,Dalian,BANF,Huangshi Shipyard,China,2000/5/22,49.95,00J2009,Refrigerated Cargo Ship,15,337.90 M3,3,,★CSM,,212,,,,,,ho:1
21,9211602,5db846f25235e74d2c32db16,Deckhouse:20.25,2020/1/31,MITSUI-MAN B&W 6S60MC*1;,,1999/5/7,6*600*8826*94,"24,319",35689,unknown*400*450*3;,"No.1 CARGO HOLD*(G11248.00)
;No.2 CARGO HOLD*(G12862.00)
;No.3 CARGO HOLD*(G12862.00)
;No.4 CARGO HOLD*(G12825.00)
;No.5 CARGO HOLD*(G12825.00)
;No.6 CARGO HOLD*(G12850.00)
;No.7 CARGO HOLD*(G12118.00)",218,32.2,19.2,5423,12.22,"38,928",HUA YUAN,"1, upper deck",Ningbo Chuntai Shipping Company Limited,6*17.00 x 14.40; 1*15.30 x 12.80,"8, Fr. No. 37, 67, 97, 127, 157, 187, 217, 247",Ningbo Chuntai Shipping Company Limited,★_CSA,"ESP;Holds Nos. 2,4&6 may be Empty;Loading Computer (S, I, D)",新源春,XIN YUAN CHUN,China,Ningbo,BLBJ6,"Sasebo Heavy Industries Co., Ltd.",Japan,2000/2/1,225,00K1021,Bulk Carrier,14.5,87590.00 M3,7,"E/R Overhead Crane,3,1;Provision Crane,4,1",★_CSM_,AUT-0;CMS;SCM,"74,228",,,"SASEBO HEAVY INDUSTRISE CO., LTD.",,1*0.6*16.5/143.6 m2,
22,9231858,5db846f35235e74d2c32db17,"Forecastle:9.8,Poop:21.4",2020/6/25,6L20*2;,Wartsila Diesel Oy,1997/5/1,6*200*990.00*1000.00,"1,323",1796,ACR 368*85.00*400*1; ARCB 446MA*160.00*400*2;,"No.1 Cargo hold*(G2660.91)
;No.2 Cargo hold*(G2540.20)",84.81,16.2,7.2,1814,4.95,"3,580",,1,"Xinliang Shipping Co.,Ltd of China Grains and Logistics Corp.",2*25.2x12.6,"6, Frs.2,8,33,69,109,116","Xinliang Shipping Co.,Ltd of China Grains and Logistics Corp.",★CSA,Strengthened for Heavy Cargoes,良谷,LIANG GU,China,Yangpu,BTUT,"Jiangdu Yuehai Shipbuilding Co., Ltd.",China,2000/6/26,93,00K2010,General Dry Cargo Ship,12.6,5201.11 M3,2,,★CSM,,"4,039",,,Shazhou Marine Boiler Factory,,1*0.7*0.19/0.9 m2,
23,9222716,5db846f45235e74d2c32db18,"Deckhouse:21,Forecastle:11.95,Poop:28.4",2020/5/10,6UEC45LA*1;,"Kobe Diesel Co.,Ltd",1999/4/25,6*4500*5295*158,"5,480",5965,TMY-35C-6S*320*450*3;,"NO.1 C.O.T (P)*(B390.07)
;NO.1 C.O.T (S)*(B390.07)
;NO.10 C.O.T (P)*(B354.97)
;NO.10 C.O.T (S)*(B354.97)
;NO.11 C.O.T (P)*(B717.68)
;NO.11 C.O.T (S)*(B717.68)
;NO.12 C.O.T (P)*(B886.73)
;NO.12 C.O.T (S)*(B886.73)
;NO.13 C.O.T / SLOP (P)*(B271.67)
;NO.13 C.O.T / SLOP (S)*(B271.67)
;NO.2 C.O.T (P)*(B750.11)
;NO.2 C.O.T (S)*(B750.11)
;NO.3 C.O.T (P)*(B743.08)
;NO.3 C.O.T (S)*(B743.08)
;NO.4 C.O.T (P)*(B719.60)
;NO.4 C.O.T (S)*(B719.60)
;NO.5 C.O.T (P)*(B355.02)
;NO.5 C.O.T (S)*(B355.02)
;NO.6 C.O.T (P)*(B859.98)
;NO.6 C.O.T (S)*(B859.98)
;NO.7 C.O.T (P)*(B1007.09)
;NO.7 C.O.T (S)*(B1007.09)
;NO.8 C.O.T (P)*(B1006.51)
;NO.8 C.O.T (S)*(B1006.51)
;NO.9 C.O.T (P)*(B861.10)
;NO.9 C.O.T (S)*(B861.10)",138,22,11.65,2582,9.1,"9,405",GOLDEN JANE,1； UPPER DECK,PT. VEKTOR MARITIM,24*Φ0.79,"10
Fr : 10,35,42,47,87,153,166,174,176,181",PT. ARMADA MARITIME OFFSHORE,★_CSA,ESP;F.P. ≤ 60℃,,SUCCESS MARLINA XXXIII,Indonesia,Jakarta,YBMK2,"Kurinoura Dockyard Co., Ltd.",Japan,2000/5/11,149,00K2033,Oil Tanker,14,17847.22 M3,26,"Crane,5,1",★_CSM_,CMS,"16,476",,,MIURA CO.LTD,,1*0.8*/131.6 m2,
24,9228758,5db846f65235e74d2c32db19,"Deckhouse:17.5,Forecastle:14.08",2020/9/30,Kawasaki-MAN B&W 6S6*1;,"Kawasaki Heavy Industries,Ltd.,Kobe Works,Japan",2000/3/17,6*600*11760*101,"9,236",5173,FE4LD6-8*560*450*3;,"No.1 Cargo Hold*(G82.00)
;No.2 Cargo Hold*(G150.00)
;No.3 Cargo Hold*(G160.00)
;No.4 Cargo Hold*(G152.00)
;No.5 Cargo Hold*(G26.00)",172,27.6,14,3939,10.1,"16,738",CAIYUNHE,"2,Upper deck & 2nd deck","Shanghai Ocean Shipping Co.,Ltd.","1*12.60x8.14x2;
12.60x10.74x2; 3*12.60x10.74x4; 1*12.60x10.74x2","8； Fr.Nos.13,35,57,97,136,175,214,229",Caiyunhe Maritime Inc.,★_CSA,Loading Computer (S),,CAIYUNHE,Panama,Panama,H3MN,"Imabari Shipbuilding Co., Ltd.",Japan,2000/9/14,182.87,00K3505,Container Ship,19.1,570.00 M3,5,"Crane,0.9,1;Crane,4,1",★_CSM_,AUT-0;CMS,"24,259",,,"Aalborg Industries K.K.,Kobe,Japan",2000/3/29,1*0.6*/278.3 m2;1*0.6*21.2 m2,dk:862;ho:570
