,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
10,,13W6318,,5db850055235e74d289af142,保持船级,1670,无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司,30-5月 -13 03.00.00.000000 下午,146;81,5.6,,89.84,16.2,柴油机,6.8,1210,2983,,1;1,鹭盛油3,机动,,,,,,9,海船,1,300,8,近海,,B级冰区航行;双壳油船（闪点≤60℃）;近海航区,富海油3,2013Q0000720,珠海,★CSAD,浙江海昌造船有限公司,2013/9/13,国内航行入级船舶,96.8,珠海市旺通船务有限公司,油船（闪点≤60℃）,广西振海船务有限公司,380,.8;1.1,10,★CSMD,,,,4998,2000,600
11,,10Q6159,,5db850055235e74d289af143,保持船级,18766,张家港格林沙洲锅炉有限公司,26-12月-09 03.00.00.000000 下午,,12.5,BRSI,192,32.26,柴油机,18,5524,33511,,1,,机动,,,,,,7,海船,1,500,6,近海,,COMPASS (D、F);加强检验程序;散货船;装载仪(S、I、G);近海航区;重货加强,新世纪188,2010C0000589,上海,★CSAD,中海工业（江苏）有限公司,2010/9/6,国内航行入级船舶,199.99,神华中海航运有限公司,散货船,神华中海航运有限公司,2000,0.9,5,★CSMD,机器处所集中控制,,,,8510,114
12,,10R6137,,5db850065235e74d289af144,保持船级,8859,江阴市三杰实业有限公司,02-10月-09 03.00.00.000000 下午,12,10.5,BIAI9,158,23.6,柴油机,14.3,3820,15819,,1,,机动,,,,,,7,海船,1,400,8,近海,12.5,B级冰区航行;散货船;装载仪(S.I.G);近海航区,浙海157,2010M0000529,上海,★CSAD,浙江海丰造船有限公司,2010/7/29,国内航行入级船舶,166.8,交银金融租赁有限责任公司,散货船,浙江省海运集团有限公司,460,0.8,4,★CSMD,,,,,4400,520
13,,16U6147,,5db850075235e74d289af145,建造入级,133,武汉爱信热能系统有限公司,08-6月 -15 12.00.00.000000 上午;08-6月 -15 12.00.00.000000 上午,5.3,3.8,,33,10.5,柴油机;柴油机,4.8,710,446,,1,,机动,,,,,,4,海船,1,280;280,6;6,近海,13,拖船;近海航区,连船5,2016R0000334,大连,★CSAD,浙江凯灵船厂(舟山四八零六工厂）,2016/3/21,国内航行入级船舶,39.03,大连船舶重工集团有限公司,普通拖船,大连船舶重工集团有限公司,370;370,0.55,,★CSMD,Z型推进系统,,,157,1838;1838,750;750
14,,11M6460,,5db850075235e74d289af146,初次入级,5,,10-10月-10 12.00.00.000000 上午;10-10月-10 12.00.00.000000 上午,,0.65,,12.35,2.95,右柴油机;左柴油机,1.82,,15,,,,机动,,,,,,4,海船,1,,,平静水域营运限制,42,公务船;平静水域营运限制;高速船,中国海关3036,2011W5100130,江门,★_CSAD,广东宝达游艇制造有限公司,2011/4/13,国内航行入级船舶,13.5,中华人民共和国江门海关,巡逻船,中华人民共和国江门海关,,,,,,,,,525;525,2300;2300
15,,19W6256,,5db850085235e74d289af147,建造入级,184,,11-6月 -18 12.00.00.000000 上午;15-6月 -18 12.00.00.000000 上午,,1.63,,44.19,7.3,柴油机;柴油机,3.4,,369,,,,机动,,,,,,6,海船,1,170;170,16;16,沿海航区营运限制,28,公务船;沿海营运限制;高速单体船,浙港航巡1101,2019T0000524,舟山,★CSAD,江龙船艇科技股份有限公司,2019/9/18,国内航行入级船舶,49.5,舟山市港航管理局,巡逻船,舟山市港航管理局,215;215,,,★CSMD,,,,25,2350;2350,1800;1800
16,,07T6078,,5db850085235e74d289af148,保持船级,124,,30-11月-06 03.00.00.000000 下午;30-11月-06 03.00.00.000000 下午,,3.349,BMGD,31,9.8,柴油机;柴油机,4.5,461,414,,,,机动,,,,,,4,海船,1,260;260,6;6,沿海,12.5,拖船;沿海航区,北部湾拖9,2007Q0000114,防城港,★CSAD,江苏省镇江船厂有限责任公司,2007/4/29,国内航行入级船舶,36,北部湾拖船（防城港）有限公司,普通拖船,北部湾拖船（防城港）有限公司,385;385,,,★CSMD,,,,,1471;1471,750;750
17,,07J6184,,5db850095235e74d289af149,保持船级,1263,无锡威力特船用锅炉有限公司,01-11月-06 12.00.00.000000 上午,,4.992,BAKB,84.3,13.5,柴油机,6.5,1510,2256,,1,海昌28,机动,,,,,,13,海船,1,320,6,近海,11.5,加强检验程序;化学品液货船（2型）;近海航区,远东荣盛,2007G0000290,惠州,★CSAD,舟山市定海启帆船舶修理工贸实业有限公司,2007/9/27,国内航行入级船舶,91.03,天津信原融资租赁有限公司,化学品液货船,惠州华亿荣盛船务有限公司,440,0.8,12,★CSMD,,,,,1545,525
18,,16G6296,,5db8500a5235e74d289af14a,建造入级,50,,,,0.8,,59.52,8,,2.2,1408,169,,,,非机动,,,,,,5,海船,1,,,沿海,,沿海航区调遣;趸船,古崎洲1号,2016E0001427,三亚,★CSAD,海南洛源船舶重工有限公司,2016/12/26,国内航行入级船舶,62,海南蜈支洲旅游开发股份有限公司,港用囤船,海南蜈支洲旅游开发股份有限公司,,,,,,,,36,,
19,,12K6348,,5db8500a5235e74d289af14b,建造入级,1653,江阴市三杰实业有限公司;江阴市三杰实业有限公司,25-2月 -12 03.00.00.000000 下午,36,5.6,BKXS5,89.8,15,柴油机,6.5,910,2952,,1;1,永诚579,机动,,,,,,10,海船,1,320,6,近海,11,B级冰区航行;双壳油船（闪点≤60℃）;近海航区,国扬67,2012M0000938,舟山,★CSAD,浙江栖凤船业有限公司,2012/9/26,国内航行入级船舶,97.28,-,油船（闪点≤60℃）,-,380,.8;1,8,★CSMD,,,,4648,735,600
