,,CCS NO,IMO No,_id,入级状态,净吨,制造厂,制造日期,受热面积(m2),吃水(满载),呼号,垂线间长,型宽,型式,型深,夏季干舷,总吨,改建日期,数量,曾用名,机动非机动,核定干舷（A级）,核定干舷（B级）,核定干舷（C级）,核定干舷（J1）,核定干舷（J2）,水密横舱壁数,海河船,甲板层数,缸径,缸数,航区,航速,船体附加标志,船名,船检登记号,船级港,船舶入级符合,船舶制造厂,船舶完工日期,船舶归属类别,船舶总长,船舶所有人,船舶类型,船舶经营人,行程,设计压力(Mpa),货舱数,轮机入级符号,轮机附加标志,载运标准集装箱数量（货舱内）,载运标准集装箱数量（货舱舱口盖上）,载重吨,额定功率,额定转速
903,,14Y6026,,5db8527b5235e74d289af4bf,保持船级,64,,02-11月-13 03.00.00.000000 下午;02-11月-13 03.00.00.000000 下午,,1.24,,24.36,6.5,柴油机;柴油机,2.55,,129,,,,机动,,,,,,5,海船,1,159;159,6;6,沿海航区营运限制,18,A类客船;沿海营运限制;高速双体船,玉祥06,2014N0000037,三沙,★CSAD,珠海太阳鸟游艇制造有限公司,2014/1/10,国内航行入级船舶,28.1,海南三沙玉祥船务有限公司,高速客船,海南三沙玉祥船务有限公司,159;159,,,★CSMD,,,,,447;447,1800;1800
904,,12C6111,,5db8527b5235e74d289af4c0,保持船级,1420,上海四诚热能设备有限公司;常州市锅炉设备有限公司;常州市锅炉设备有限公司,24-6月 -11 03.00.00.000000 下午;24-6月 -11 03.00.00.000000 下午,2400;350;4.7,5.6,BTBG,84,15,右 柴油机;左 柴油机,7.1,1509,2537,,1;1;1,,机动,,,,,,11,海船,1,230;230,6;6,近海,12,B级冰区航行;加强检验程序;双壳油船（闪点>60℃）;近海航区;防污底系统,中燃36,2012D0000332,大连,★CSAD,辽河石油装备制造总公司,2012/5/17,国内航行入级船舶,87.6,中国船舶燃料大连有限公司,油船（闪点>60℃）,中国船舶燃料大连有限公司,300;300,.09;1;1,10,★CSMD,驾驶室遥控,,,,960;960,900;900
905,,10H6175,,5db8527c5235e74d289af4c1,保持船级,3077,无锡威力特船用锅炉有限公司,09-6月 -10 12.00.00.000000 上午;11-6月 -10 12.00.00.000000 上午,,4.3,,102.1,17.2,柴油机;柴油机,5.2,,5496,,1,,机动,1220,1220,1220,,1220,12,河船,1,200;200,6;6,A级,0,A级航区、J2级航段;双壳集装箱船/散货船,长航集运0320,2010J0000641,重庆,★CSAD,重庆长航东风船舶工业公司,2010/9/17,国内航行入级船舶,107,交银金融租赁有限责任公司,集装箱船,重庆长航天一物流有限公司,270;270,0.8,1,★CSMD,,,,,518;518,720;720
906,,12F6505,,5db8527d5235e74d289af4c2,保持船级,10998,无锡威力特船用锅炉有限公司,23-2月 -12 03.00.00.000000 下午,15,9.974,BHIR5,171.6,26,柴油机,14.8,4836,19641,,1,山水808,机动,,,,,,8,海船,1,400,8,近海,12.7,B级冰区航行;散货船;装载仪(S.I.G);近海航区,金泰168,2012F0001323,泰州,★CSAD,江苏勤丰船业有限公司,2012/12/4,国内航行入级船舶,179.9,泰州市益达航商贸有限公司,散货船,泰州市华阳海运有限公司,460,0.8,4,★CSMD,,,,,4780,536
907,,12T6448,,5db8527d5235e74d289af4c3,建造入级,1555,,15-3月 -11 03.00.00.000000 下午;26-4月 -12 03.00.00.000000 下午,,4.35,,90.5,16.2,柴油机;柴油机,5.5,,2777,,,,机动,1158,1158,1158,,1158,10,河船,,170;170,8;8,A级,,A级航区、J2级航段;双壳油船（闪点≤60℃）,江海油8,2012R0001149,南京,★CSAD,安徽远东船舶有限公司,2012/11/16,国内航行入级船舶,94.8,南京建庆运输有限公司,油船（闪点≤60℃）,南京建庆运输有限公司,200;200,,10,★CSMD,驾驶室遥控,,,4496,601;601,1350;1350
908,,11L6298,,5db8527e5235e74d289af4c4,保持船级,147,,09-5月 -11 12.00.00.000000 上午;09-5月 -11 12.00.00.000000 上午,,3.8,BSZN,36.96,10,柴油机;柴油机,4.8,710,490,,,青拖6,机动,,,,,,4,海船,1,260;260,6;6,近海,,B级冰区航行;拖船;近海航区,粤工拖45,2011J0000236,湛江,★CSAD,天津新河船舶重工有限责任公司,2011/9/28,国内航行入级船舶,39.45,中交四航局第三工程有限公司,普通拖船,中交四航局第三工程有限公司,350;350,,,★CSMD,,,,,1471;1471,750;750
909,,81M0600,,5db8527e5235e74d289af4c5,,5114,M.W.Grazbrook Ltd.,01-1月 -80 12.00.00.000000 上午,18,8.86,BROJ,137.5,20.42,柴油机,11.75,2919,9132,,1,浑江,机动,,,,,,6,海船,2,680,4,近海,,中国国内船舶安全管理体系;普通货船;特别定期检验;近海航区,正阳3,1981P0000868,广州,★_CSAD,Austin & Pickersgill Ltd.,1981/2/1,国内航行入级船舶,144.75,中国环球租赁有限公司,普通干货船,大连利丰海运集团有限公司,1250,0.74,5,★_CSMD_,,,,,5590,150
910,,07S6008,,5db8527f5235e74d289af4c6,,1200,青岛船用锅炉厂有限公司,07-12月-06 12.00.00.000000 上午;07-12月-06 12.00.00.000000 上午,4.9,3.53,,85.6,16.2,柴油机;柴油机,4.3,,2143,,1,,机动,784,784,784,,784,7,河船,1,210;210,6;6,A级,,A级航区;J2级航段;双壳矿石船/双壳散货船,荣江3002,2007F0000013,武汉,★CSAD,长江重庆航道局丰都航道处船舶公司,2007/1/16,国内航行入级船舶,90.1,长航凤凰股份有限公司,一般干货船,长航凤凰股份有限公司,290;290,0.54,1,★CSMD,,,,3258,441;441,600;600
911,,08X6018,,5db852805235e74d289af4c7,保持船级,136,,18-11月-07 12.00.00.000000 上午;30-11月-07 12.00.00.000000 上午,,3.65,BHKO,32,10.5,柴油机;柴油机,4.8,1160,454,,,,机动,,,,,,4,海船,1,,6;6,近海,13,拖船;近海航区,澄西5号,2008S0000033,江阴,★CSAD,上海港复兴船务公司,2008/2/5,国内航行入级船舶,37.6,中船澄西船舶修造有限公司,普通拖船,中船澄西船舶修造有限公司,,,,★CSMD,,,,,1838;1838,750;750
912,,02Q6004,,5db852805235e74d289af4c8,保持船级,2491,青岛船用锅炉厂,11-12月-01 03.00.00.000000 下午;11-12月-01 03.00.00.000000 下午,45,5.8,BUNS,102,17.5,柴油机;柴油机,7.6,1818,4449,,1,,机动,,,,,,6,海船,1,230;230,6;6,近海,,双舷侧散货船/矿砂船;近海航区,国裕1号,2002H0000292,武汉,★CSAD,长航集团宜昌船厂,2002/11/8,国内航行入级船舶,110,武汉江裕海运发展有限公司,散货船,武汉江裕海运发展有限公司,300;300,0.55,2,★CSMD,,,,,810;810,750;750
913,,,,5db852815235e74d289af4c9,,,,,,,,180,,,,,25097,,,,机动,,,,,,,海船,,,,近海,,,中扬40000DWT散货船/ZY1101,3000Y0000986,杭州,,中扬船业集团有限公司,,国内航行入级船舶,180,杭州顺驰物流有限公司,散货船,杭州顺驰物流有限公司,,,,,,,,,,
914,,11H6341,,5db852815235e74d289af4ca,建造入级,16987,张家港格林沙洲锅炉有限公司,05-5月 -11 12.00.00.000000 上午,22,10.7,BLAB,192,32.26,柴油机,16.2,5520,30334,,1,,机动,,,,,,7,海船,1,460,6,近海,,B级冰区航行;散货船;燃油舱保护;装载仪(S.I.G);近海航区,明州55,2011E0001014,宁波,★CSAD,中海工业（江苏）有限公司,2011/12/21,国内航行入级船舶,199.99,宁波海运股份有限公司,散货船,宁波海运股份有限公司,1932,0.9,5,★CSMD,机器处所集中控制,,,,6450,108
915,,05L7004,6223469,5db852825235e74d289af4cb,初次入级,30578,"KANG RIM IND. CO.,LTD.",15-12月-04 12.00.00.000000 上午,50.6,13.65,BOAE,283.2,32.2,柴油机,22.1,3780,54605,,1,,机动,,,,,,9,海船,,960,8,近海,25,近海航区;集装箱船,泛亚天津,2005H0000549,上海,★_CSAD,"Hyundai Samho Heavy Industries Co.,Ltd., 韩国",2005/3/14,国内航行入级船舶,294.14,上海浦海航运有限公司,集装箱船,上海浦海航运有限公司,2500,0.79,6,★_CSMD_,机器处所周期无人值班,,,67025,45780,102
916,,,,5db852825235e74d289af4cc,,,,,,,,44.8,,,,,596,,,,机动,,,,,,,海船,,,,近海,,,中国海监105,3000J0001087,青岛,,青岛鹤顺船业有限公司,,国内航行入级船舶,,国家海洋局北海分局,科学调查船,国家海洋局北海分局,,,,,,,,,,
917,,12C6433,,5db852835235e74d289af4cd,建造入级,321,青岛船用锅炉厂有限公司,11-9月 -10 03.00.00.000000 下午;11-9月 -10 03.00.00.000000 下午,,3,BCEI,58.5,12,柴油机;柴油机,4.5,1508,1073,,1,,机动,,,,,,10,海船,1,250;250,6;6,近海,12,B级冰区航行;调查船;近海航区,胜勘208,2012S0001104,东营,★CSAD,山东华海船业有限公司,2012/10/30,国内航行入级船舶,63.8,胜利油田信科海洋勘察测绘有限公司,科学调查船,胜利油田信科海洋勘察测绘有限公司,320;320,0.55,,★CSMD,,,,,1000;1000,750;750
918,,12L6257,,5db852845235e74d289af4ce,建造入级,132,,01-12月-11 12.00.00.000000 上午;01-12月-11 12.00.00.000000 上午,,3.7,BVHE5,32,10.5,柴油机;柴油机,4.8,1110,440,,,,机动,,,,,,4,海船,1,260;260,6;6,沿海,,拖船;沿海航区,中化拖511,2012B0000744,泉州,★CSAD,上海港复兴船务公司,2012/8/20,国内航行入级船舶,39.43,中化泉州石化有限公司,普通拖船,中化泉州石化有限公司,385;385,,0,★CSMD,,,,,1920;1920,750;750
919,,10A6007,,5db852845235e74d289af4cf,,1067,无锡威力特船用锅炉有限公司,01-2月 -09 12.00.00.000000 上午;01-3月 -09 12.00.00.000000 上午,11.5,5.489,BLFU6,60,14.6,柴油机;柴油机,6.85,1360,1905,,1,,机动,,,,,,6,海船,1,300;300,8;8,近海,13.5,B级冰区航行;近海供应船;近海航区,安泉州77,2010V0000031,台州,★CSAD,江都市九龙船舶修造有限公司,2010/1/11,国内航行入级船舶,69,台州市江南海运有限公司,供应船,台州市江南海运有限公司,380;380,0.8,,★CSMD,,,,,2000;2000,550;550
920,,10J6176,,5db852855235e74d289af4d0,,8705,江阴市三杰实业有限公司,25-9月 -09 03.00.00.000000 下午,12,10.2,BHYF3,158,23.6,柴油机,14,3820,15545,,1,,机动,,,,,,7,海船,1,400,8,近海,12.2,B级冰区航行;散货船;装载仪(S.I.G);近海航区,利达海,2010M0000644,南京,★CSAD,浙江合兴船厂,2010/9/20,国内航行入级船舶,166.6,南京恒顺达船务有限公司,散货船,南京恒顺达船务有限公司,460,0.8,4,★CSMD,,,,26464,4400,520
921,,15M6227,9736535,5db852855235e74d289af4d1,建造入级,16004,张家港格林沙洲锅炉有限公司,15-8月 -14 12.00.00.000000 上午,21,10.7,BIBU5,176.85,32.18,柴油机,16,5326,28580,,1,,机动,,,,,,7,海船,1,500,5,近海,13.6,B级冰区航行;水下检验;绿色船舶1;船舶设计能效（3）;装载仪(S、I);近海航区;集装箱船,中谷上海,2015C0000634,厦门,★CSAD,浙江省海运集团舟山五洲船舶修造有限公司,2015/6/11,国内航行入级船舶,179.9,厦门国达海运有限公司,集装箱船,厦门国达海运有限公司,2214,0.9,5,★CSMD,机器处所集中控制;驾驶室遥控,,,41222,6050,99
922,,14Y6279,,5db852865235e74d289af4d2,保持船级,144,,23-6月 -14 12.00.00.000000 上午;23-6月 -14 12.00.00.000000 上午,,3.916,BMZX,32.9,10.6,柴油机;柴油机,4.9,614,483,,,,机动,,,,,,4,海船,1,260;260,6;6,沿海,,拖船;沿海航区,北部湾拖5,2014L0000955,防城港,★CSAD,江苏省镇江船厂（集团）有限公司,2014/12/18,国内航行入级船舶,39.55,北部湾拖船（防城港）有限公司,普通拖船,北部湾拖船（防城港）有限公司,385;385,,,★CSMD,驾驶室遥控,,,200,1920;1920,750;750
923,,09K6080,,5db852865235e74d289af4d3,保持船级,8729,江阴市三杰实业有限公司,01-7月 -08 12.00.00.000000 上午,,10.2,BLGQ6,158,23.6,柴油机,14,3820,15588,,,,机动,,,,,,8,海船,1,,,近海,12.2,B级冰区航行;散货船;装载仪(S、I、G);近海航区,长昌2,2009H0000240,台州,★CSAD,临海市长顺船舶修造有限公司,2009/6/25,国内航行入级船舶,166.6,中航国际租赁有限公司,散货船,浙江长昌海运有限公司,,0.8,4,★CSMD,,,,,4400,520
924,,17N6491,,5db852875235e74d289af4d4,初次入级,5858,江阴市三杰实业有限公司,05-5月 -18 12.00.00.000000 上午,12,5.8,,135.1,23.4,柴油机,9.4,3222,10461,,1,,机动,,,,,,7,海船,1,350,6,近海,12.6,"1类航区;Container Ship;In-Water Survey;Loading Computer (S,I)",博大51,2019Y0000023,宁波,★CSA,宁波博大船业有限公司,2019/1/10,国内航行入级船舶,137.3,宁波博大船业有限公司,集装箱船,象山兴宁航运有限公司,1400,0.8,4,★CSM,,,,11164,4313,168
925,,18K6102,,5db852875235e74d289af4d5,建造入级,1652,无锡威力特船用锅炉有限公司,15-1月 -17 12.00.00.000000 上午,,5.6,BQWU,89.8,15,柴油机,6.5,910,2950,,1,,机动,,,,,,10,海船,1,320,6,近海,11,B级冰区航行;双壳油船（闪点≤60℃）;近海航区,玉环油999,2018Q0000052,台州,★CSAD,玉环县海航船舶修造有限公司,2018/1/8,国内航行入级船舶,97.28,兴龙舟海运集团有限公司,油船（闪点≤60℃）,兴龙舟海运集团有限公司,440,1.1,10,★CSMD,,,,4670,735,365
926,,16X6288,,5db852885235e74d289af4d6,保持船级,472,,15-2月 -16 12.00.00.000000 上午;15-2月 -16 12.00.00.000000 上午,,2.68,,60.85,11,柴油机;柴油机,3.6,,844,,,,机动,926,926,926,,,8,河船,,160;160,6;6,A级,0,A级航区;化学品液货船（2型）;双壳油船（闪点≤60℃）;最大压力0.022MPa;最大货物密度1090kg/m3;最高货物温度50℃,亨利01,2016V0001373,蚌埠,★CSAD,扬州大华船业有限公司,2016/12/13,国内航行入级船舶,62.8,安徽强盛船务有限公司,化学品液货船,安徽强盛船务有限公司,225;225,,8,★CSMD,驾驶室遥控,,,994,220;220,1000;1000
927,,,,5db852885235e74d289af4d7,,2236,张家港格林沙洲锅炉有限公司,,,6.73,BASB,108.6,16,,8.2,1484,3993,,,,机动,,,,,,10,海船,,,,近海,0,,辽油601,2003E3101112,大连,,台州市中远造船厂,2003/6/16,国内航行入级船舶,117.66,中远海运石油运输有限公司,油船（闪点≤60℃）,中远海运石油运输有限公司,,0.78,12,,,,,6543,,
928,,10W6073,,5db852895235e74d289af4d8,保持船级,176,,15-12月-09 12.00.00.000000 上午;17-12月-09 12.00.00.000000 上午,,1.505,BKPP5,43.6,6.8,柴油机;柴油机,3.3,,353,,,,机动,,,,,,4,海船,1,159;159,16;16,沿海航区营运限制,26,A类客船;沿海营运限制;高速单体船,仙洲9,2010T0000236,舟山,★CSAD,武汉南华高速船舶工程股份有限公司,2010/4/20,国内航行入级船舶,48,岱山县蓬莱客运轮船有限公司,高速客船,岱山县蓬莱客运轮船有限公司,159;159,,,★CSMD,,,,,1399;1399,1950;1950
929,,11J6411,,5db8528a5235e74d289af4d9,保持船级,436,,01-7月 -10 12.00.00.000000 上午;01-7月 -10 12.00.00.000000 上午,,4.7,BFBB8,51.6,13.8,柴油机;柴油机,5.8,712,1455,,,,机动,,,,,,6,海船,,,,近海,13.5,B级冰区航行;拖船;近海供应船;近海航区,浩驰8,2011Q1500003,天津,★_CSAD,福安市金湖船舶工程有限公司,2011/3/10,国内航行入级船舶,59,天津市浩驰海洋工程有限公司,普通拖船,天津市浩驰海洋工程有限公司,,,,★_CSMD_,,,,,2206;2206,600;600
930,,11J6411,,5db8528a5235e74d289af4da,保持船级,436,,01-7月 -10 12.00.00.000000 上午;01-7月 -10 12.00.00.000000 上午,,4.7,BFBB8,51.6,13.8,柴油机;柴油机,5.8,712,1455,,,,机动,,,,,,6,海船,,,,近海,13.5,B级冰区航行;拖船;近海供应船;近海航区,浩驰8,2011Q1500003,天津,★_CSAD,福安市金湖船舶工程有限公司,2011/3/10,国内航行入级船舶,59,天津市浩驰海洋工程有限公司,普通拖船,天津市浩驰海洋工程有限公司,,,,★_CSMD_,,,,,2206;2206,600;600
931,,06F6084,,5db8528b5235e74d289af4db,建造入级,44,,02-11月-05 12.00.00.000000 上午;02-11月-05 12.00.00.000000 上午,,1.919,,21.5,8,柴油机;柴油机,3.2,560,147,,,,机动,,,,,,4,海船,1,,,沿海,10.63,沿海航区;起锚艇,海岸线1号,2006L0000124,天津,★CSAD,中港集团天津船舶工程有限公司,2006/4/24,国内航行入级船舶,24.4,天津海岸线航标安装有限公司,抛锚船,天津海岸线航标安装有限公司,,,,★CSMD,,,,,339;339,1744;1744
932,,19U6139,,5db8528b5235e74d289af4dc,建造入级,8004,无锡威力特船用锅炉有限公司,09-12月-18 12.00.00.000000 上午,15,8.5,,161.6,25,柴油机,11.8,3324,14293,,1,,机动,,,,,,8,海船,1,330,6,近海,12.6,B级冰区航行;装载仪(S、I);近海航区;集装箱船,华旭达27,2019R0000108,厦门,★CSAD,浙江东红船业有限公司,2019/3/4,国内航行入级船舶,166.23,厦门华旭达海运有限公司,集装箱船,厦门华旭达海运有限公司,1550,0.8,5,★CSMD,驾驶室遥控,,,21601,3900,131
933,,,,5db8528c5235e74d289af4dd,初次入级,11772,,,,,,172,28.8,,14.6,,22257,,,,机动,,,,,,,海船,,,,近海航区营运限制,,,金成鑫168,3000L0001411,平潭,,江苏勤丰船业有限公司,2010/11/28,国内航行入级船舶,,,散货船,,,,,,,,,,,
934,,14M6314,,5db8528d5235e74d289af4de,保持船级,556,,21-4月 -14 03.00.00.000000 下午;21-4月 -14 03.00.00.000000 下午,,3.25,,66.1,12.8,柴油机;柴油机,3.9,,993,,,,机动,656,506,,,,9,河船,1,170;170,6;6,A级,9.7,A级航区;化学品液货船2型;最大压力0.022MPa，最高货物温度50℃;最大货物密度1530 t/m3,皖庐东2,2014K0001069,合肥,★CSAD,安徽省巢湖造船厂,2014/12/30,国内航行入级船舶,68.8,合肥庐东航运有限公司,化学品液货船,合肥庐东航运有限公司,200;200,,8,★CSMD,驾驶室遥控,,,1800,220;220,1000;1000
935,,13F6050,,5db8528d5235e74d289af4df,建造入级,292,,01-11月-11 12.00.00.000000 上午;01-11月-11 12.00.00.000000 上午,,1.6,,42.07,9.8,柴油机;柴油机,3.3,,585,,,,机动,,,,,,4,海船,1,,,沿海航区营运限制,20,A类客船;单体高速船;沿海航区营运限制,海口湾1,2013N0000097,海口,★CSAD,广东江龙船舶制造有限公司中山分公司,2013/2/1,国内航行入级船舶,46.2,海南港航拖轮有限公司,高速客船,海南海峡航运股份有限公司,,,0,★CSMD,,,,0,895;895,1800;1800
936,,14N6246,,5db8528e5235e74d289af4e0,保持船级,5679,无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司,01-5月 -14 03.00.00.000000 下午;01-5月 -14 03.00.00.000000 下午,,3.12,,103.8,17.8,柴油机;柴油机,4.8,,9466,,1;1,,机动,1688,1688,1688,,1688,11,河船,,250;250,8;8,A级,,A级航区、J2级航段;滚装货船,民强号,2014H0000791,上海,★CSAD,重庆长航东风船舶工业公司,2014/10/24,国内航行入级船舶,110,上海民生轮船有限公司,滚装船,民生轮船股份有限公司,320;320,.6;.6,,★CSMD,机舱自动化-2,,,1689,882;882,600;600
937,,13J6053,,5db8528e5235e74d289af4e1,建造入级,1762,,23-7月 -12 12.00.00.000000 上午;24-7月 -12 12.00.00.000000 上午,,4.8,,95.7,17.2,柴油机;柴油机,5.6,,3146,,,,机动,810,660,660,,660,14,河船,,200;200,6;6,A级,,A级航区、J2级航段;化学品液货船（2型、2G）/双壳油船（闪点≤60℃）;最大压力0.022MPa;最大货物密度1117kg/m3;最高货物温度50℃,华启9,2013T0000102,荆州,★CSAD,江苏润扬船业有限公司,2013/2/6,国内航行入级船舶,100,荆州市荆楚船务有限公司,化学品液货船,荆州市荆楚船务有限公司,270;270,,16,★CSMD,驾驶室遥控,,,,698;698,1000;1000
938,,07X6243,,5db8528f5235e74d289af4e2,保持船级,2476,张家港格林沙洲锅炉有限公司,01-3月 -06 12.00.00.000000 上午,,6.9,,109,16.5,柴油机,8.3,1414,4422,,1,,机动,,,,,,11,海船,,,,近海,,双壳油船;近海航区;闪点≤60℃,圣油229,2007N3100052,深圳,★_CSAD,浙江安泰船业有限公司,2007/1/18,国内航行入级船舶,117.4,深圳市海昌华海运股份有限公司,油船（闪点≤60℃）,深圳市海昌华海运股份有限公司,,0.78,10,★_CSMD_,,,,,2426,630
939,,06W6191,,5db8528f5235e74d289af4e3,保持船级,1678,青岛船用锅炉厂有限公司,01-11月-05 12.00.00.000000 上午;01-11月-05 12.00.00.000000 上午,6,5.1,BONH,90.78,16.2,柴油机;柴油机,6.74,1658,2998,,1,江夏宁,机动,,,,,,5,海船,1,300;300,6;6,近海,11,散货船;近海航区,粤安运67,2006G0000189,广州,★CSAD,扬州龙川船业有限公司,2006/6/13,国内航行入级船舶,98.28,广东粤安航运有限公司,散货船,广东粤安航运有限公司,380;380,0.78,1,★CSMD,,,,5253,750;750,400;400
940,,,,5db852905235e74d289af4e4,建造入级,1078,无锡威力特船用锅炉有限公司,15-10月-18 12.00.00.000000 上午;15-10月-18 12.00.00.000000 上午,,4.558,,73.6,13.77,柴油机;柴油机,5.3,,1925,,,,机动,948,948,948,,948,10,河船,,200;200,6;6,A级,9.72,A级航区;化学品液货船（2型）;双壳油船（闪点≤60℃）;最大压力0.022MPa;最大货物密度1.261kg/m3;最高货物温度50℃;重力式整体液货舱,鑫辉166,3000A0002482,扬州,★CSAD,扬州市闸北船业有限公司,,国内航行入级船舶,78,扬州市闸北船业有限公司,化学品液货船,扬州龙川运输有限公司,270;270,1.1,16,★CSMD,驾驶室遥控,,,3080,698;698,1000;1000
941,,05Q6134,,5db852905235e74d289af4e5,保持船级,105,,19-7月 -05 12.00.00.000000 上午;19-7月 -05 12.00.00.000000 上午,,3.4,,32.6,9.8,右柴油机;左柴油机,4.4,,350,,,,机动,1029,,,,,3,河船,1,210;210,8;8,A级,,A级航区;拖船,张港18号,2005F0000386,张家港,★CSAD,上海港复兴船务公司,2005/11/25,国内航行入级船舶,35.1,张家港港务集团有限公司,普通拖船,张家港港务集团有限公司船务分公司,290;290,,,★CSMD,,,,,1324;1324,900;900
942,,14S6020,,5db852915235e74d289af4e6,保持船级,10805,张家港格林沙洲锅炉有限公司,15-11月-13 12.00.00.000000 上午,217,10.2,BVJS5,170,27.6,柴油机,14.2,4028,19296,,1,,机动,,,,,,8,海船,1,460,6,近海,15,B级冰区航行;普通干货船;装载仪(S、I、G、D);近海航区;集装箱系固设备,仁建青岛,2014U0000043,泉州,★CSAD,中航威海船厂有限公司,2014/1/22,国内航行入级船舶,179.9,信达金融租赁有限公司,多用途船,泉州安盛船务有限公司,1932,0.78,5,★CSMD,机器处所集中控制;驾驶室遥控,,,28720,6480,115
943,,13N6080,,5db852915235e74d289af4e7,保持船级,3858,无锡威力特船用锅炉有限公司;无锡威力特船用锅炉有限公司,03-6月 -11 12.00.00.000000 上午;03-6月 -11 12.00.00.000000 上午,,3.4,,105.6,19.2,柴油机;柴油机,4.5,,6430,,,中堡岛,机动,,1110,1110,,1110,11,河船,,300;300,8;8,B级,29.5,B级航区、J2级航段;I型客滚船,新高湖,2013W0000151,宜昌,★CSAD,宜昌新高湖造船有限公司,2013/1/31,国内航行入级船舶,110,宜昌新高湖滚装客船有限公司,客滚船（Ⅰ型）,宜昌新高湖滚装客船有限公司,380;380,.8;.8,,★CSMD,驾驶室遥控,,,,2000;2000,600;600
944,,02P6049,,5db852925235e74d289af4e8,保持船级,15218,Aalborg（Qingdao） Industries Ltd.,06-12月-01 12.00.00.000000 上午,,11.771,BUSA3,179,31,柴油机,16.75,5021,27176,,1,,机动,,,,,,7,海船,1,500,6,近海,,散货船;装载仪(S);近海航区,长亮海,2002P0000436,武汉,★_CSAD,南通中远川崎船舶工程有限公司,2002/5/15,国内航行入级船舶,187.5,长航凤凰股份有限公司,散货船,长航凤凰股份有限公司,1910,0.8,5,★_CSMD_,,,,47777,6880,102
945,,07E6042,,5db852935235e74d289af4e9,建造入级,5428,张家港格林沙舟锅炉有限公司,11-2月 -06 03.00.00.000000 下午,100,8.2,BQLV,138.78,21,柴油机,11.2,3016,9692,,1,浙海356,机动,,,,,,7,海船,1,400,6,近海,11.9,散货船;近海航区,之航,2007Y0000053,福州,★CSAD,临海市长顺船舶修造有限公司,2007/1/29,国内航行入级船舶,146.3,福州快航轮船有限公司,散货船,福州快航轮船有限公司,460,0.78,3,★CSMD,,,,,3300,520
946,,19K6268,,5db852935235e74d289af4ea,建造入级,146,,19-6月 -19 12.00.00.000000 上午;21-6月 -19 12.00.00.000000 上午,,3.935,,32.5,10.6,柴油机;柴油机,4.9,675,489,,,,机动,,,,,,4,海船,1,260;260,6;6,沿海,,B级冰区航行;拖船;沿海航区;第1类消防船,宝航5,2019L0000586,盘锦,★CSAD,江苏省镇江船厂（集团）有限公司,2019/10/25,国内航行入级船舶,39.05,辽宁龙韵顺泽拖轮有限公司,普通拖船,辽宁龙韵顺泽拖轮有限公司,385;385,,,★CSMD,驾驶室遥控,,,182,1840;1840,750;750
947,,12M6442,,5db852945235e74d289af4eb,保持船级,10805,张家港格林沙洲锅炉有限公司,12-12月-11 12.00.00.000000 上午,,10.2,BIAX6,170,27.6,柴油机,14.2,4028,19296,,1,SN354,机动,,,,,,8,海船,1,460,6,近海,,B级冰区航行;普通干货船;装载仪(S、I、G、D);近海航区;集装箱系固设备,海澜中谷8,2012Y0001133,上海,★CSAD,山东新船重工有限公司,2012/11/15,国内航行入级船舶,179.9,中航国际租赁有限公司,多用途船,上海中谷物流股份有限公司,1932,0.78,5,★CSMD,机器处所集中控制;驾驶室遥控,,,,6480,115
948,,13R6244,,5db852945235e74d289af4ec,建造入级,245,,15-2月 -13 12.00.00.000000 上午;15-2月 -13 12.00.00.000000 上午,,2.7,BVJL5,38,10,柴油机;柴油机,4,1308,438,,,,机动,,,,,,10,海船,1,170;170,6;6,沿海,11,具有回收油贮存舱的浮油回收船;沿海航区,福炼808,2013Q0000513,泉州,★CSAD,浙江东红船业有限公司,2013/8/1,国内航行入级船舶,40.6,福建联合石油化工有限公司,溢油(污油)回收船,福建联合石油化工有限公司,200;200,,4,★CSMD,,,,395,353;353,1200;1200
949,,19U6231,,5db852955235e74d289af4ed,建造入级,9305,青岛船用锅炉厂有限公司;青岛船用锅炉厂有限公司,06-8月 -18 12.00.00.000000 上午;06-8月 -18 12.00.00.000000 上午;06-8月 -18 12.00.00.000000 上午,19.5;19.5,3,,139.98,21.2,电力驱动;电力驱动;电力驱动,4.6,,15509,,1;1,,机动,1607,1607,1607,,1607,10,河船,7,,,A级,,A级航区、J2级航段;客船;智能船舶（E）,世纪荣耀,2019V0000411,重庆,★CSAD,重庆中江船业有限公司,2019/8/20,国内航行入级船舶,149.98,重庆冠达世纪游轮有限公司,客船,重庆冠达世纪游轮有限公司,,.8;.8,,★CSMD,岸电系统;机舱自动化-1;电力推进系统;绿色船舶-1;船舶舒适性-（噪声 3）;船舶舒适性-（振动 3）,,,,1400;1400;1400,1000;1000;1000
950,,93U2001,,5db852955235e74d289af4ee,,7378,沙洲船用锅炉厂;沙洲船用锅炉厂,16-10月-92 12.00.00.000000 上午,34;400,9.8,BRQN,154.98,22,柴油机,13.4,3322,13176,2009/8/26,1;1,向洲,机动,,,,,,8,海船,1,480,6,近海,14,B级冰区航行;可以2、4舱空舱;安全管理体系;散货船;装载仪S.I;近海航区;重货加强,凤翔岭,1993D0000759,广州,★CSAD,上海造船厂,1993/8/14,国内航行入级船舶,164,广州海运（集团）有限公司,散货船,中海散货运输有限公司,1400,.75;1.3,5,★CSMD,机械计划保养系统,,,,5647,142
